mean_q,loc,date,stage,rank
245.278454385905,France-Ile-de-France,2010-11-01,1,1
245.278454385905,France-Ile-de-France,2010-12-01,1,1
245.278454385905,France-Ile-de-France,2011-01-01,1,1
245.278454385905,France-Ile-de-France,2011-02-01,1,1
245.278454385905,France-Ile-de-France,2011-03-01,1,1
245.278454385905,France-Ile-de-France,2011-04-01,1,1
245.278454385905,France-Ile-de-France,2011-05-01,1,1
245.278454385905,France-Ile-de-France,2011-06-01,1,1
245.278454385905,France-Ile-de-France,2011-07-01,1,1
245.278454385905,France-Ile-de-France,2011-08-01,1,1
245.278454385905,France-Ile-de-France,2011-09-01,1,1
245.278454385905,France-Ile-de-France,2011-10-01,1,1
245.278454385905,France-Ile-de-France,2011-11-01,1,1
245.278454385905,France-Ile-de-France,2011-12-01,1,1
245.278454385905,France-Ile-de-France,2012-01-01,1,1
245.278454385905,France-Ile-de-France,2012-02-01,1,1
245.278454385905,France-Ile-de-France,2012-03-01,1,1
245.278454385905,France-Ile-de-France,2012-04-01,1,1
245.278454385905,France-Ile-de-France,2012-05-01,1,1
245.278454385905,France-Ile-de-France,2012-06-01,1,1
245.278454385905,France-Ile-de-France,2012-07-01,1,1
245.278454385905,France-Ile-de-France,2012-08-01,1,1
245.278454385905,France-Ile-de-France,2012-09-01,1,1
245.278454385905,France-Ile-de-France,2012-10-01,1,1
245.278454385905,France-Ile-de-France,2012-11-01,1,1
245.278454385905,France-Ile-de-France,2012-12-01,1,1
245.278454385905,France-Ile-de-France,2013-01-01,1,1
245.278454385905,France-Ile-de-France,2013-02-01,1,1
245.278454385905,France-Ile-de-France,2013-03-01,1,1
245.278454385905,France-Ile-de-France,2013-04-01,1,1
245.278454385905,France-Ile-de-France,2013-05-01,1,1
479.345957812539,France-Ile-de-France,2013-06-01,2,2
479.345957812539,France-Ile-de-France,2013-07-01,2,2
479.345957812539,France-Ile-de-France,2013-08-01,2,2
479.345957812539,France-Ile-de-France,2013-09-01,2,2
479.345957812539,France-Ile-de-France,2013-10-01,2,2
479.345957812539,France-Ile-de-France,2013-11-01,2,2
479.345957812539,France-Ile-de-France,2013-12-01,2,2
479.345957812539,France-Ile-de-France,2014-01-01,2,2
479.345957812539,France-Ile-de-France,2014-02-01,2,2
479.345957812539,France-Ile-de-France,2014-03-01,2,2
479.345957812539,France-Ile-de-France,2014-04-01,2,2
479.345957812539,France-Ile-de-France,2014-05-01,2,2
924.113570585738,France-Ile-de-France,2014-06-01,3,3
924.113570585738,France-Ile-de-France,2014-07-01,3,3
924.113570585738,France-Ile-de-France,2014-08-01,3,3
924.113570585738,France-Ile-de-France,2014-09-01,3,3
924.113570585738,France-Ile-de-France,2014-10-01,3,3
1343.55848942241,France-Ile-de-France,2014-11-01,4,4
1343.55848942241,France-Ile-de-France,2014-12-01,4,4
1343.55848942241,France-Ile-de-France,2015-01-01,4,4
1343.55848942241,France-Ile-de-France,2015-02-01,4,4
1343.55848942241,France-Ile-de-France,2015-03-01,4,4
1343.55848942241,France-Ile-de-France,2015-04-01,4,4
1343.55848942241,France-Ile-de-France,2015-05-01,4,4
1970.08556702483,France-Ile-de-France,2015-06-01,5,5
1970.08556702483,France-Ile-de-France,2015-07-01,5,5
2478.49568747116,France-Ile-de-France,2015-08-01,6,6
2478.49568747116,France-Ile-de-France,2015-09-01,6,6
3104.40961468507,France-Ile-de-France,2015-10-01,7,7
3104.40961468507,France-Ile-de-France,2015-11-01,7,7
3721.04494979524,France-Ile-de-France,2015-12-01,8,8
3721.04494979524,France-Ile-de-France,2016-01-01,8,8
3721.04494979524,France-Ile-de-France,2016-02-01,8,8
3721.04494979524,France-Ile-de-France,2016-03-01,8,8
