mean_q,loc,date,stage,rank
601.433793675201,United States-New York,2010-11-01,1,1
601.433793675201,United States-New York,2010-12-01,1,1
601.433793675201,United States-New York,2011-01-01,1,1
601.433793675201,United States-New York,2011-02-01,1,1
601.433793675201,United States-New York,2011-03-01,1,1
601.433793675201,United States-New York,2011-04-01,1,1
601.433793675201,United States-New York,2011-05-01,1,1
601.433793675201,United States-New York,2011-06-01,1,1
601.433793675201,United States-New York,2011-07-01,1,1
601.433793675201,United States-New York,2011-08-01,1,1
601.433793675201,United States-New York,2011-09-01,1,1
601.433793675201,United States-New York,2011-10-01,1,1
601.433793675201,United States-New York,2011-11-01,1,1
601.433793675201,United States-New York,2011-12-01,1,1
601.433793675201,United States-New York,2012-01-01,1,1
601.433793675201,United States-New York,2012-02-01,1,1
601.433793675201,United States-New York,2012-03-01,1,1
601.433793675201,United States-New York,2012-04-01,1,1
601.433793675201,United States-New York,2012-05-01,1,1
601.433793675201,United States-New York,2012-06-01,1,1
601.433793675201,United States-New York,2012-07-01,1,1
601.433793675201,United States-New York,2012-08-01,1,1
601.433793675201,United States-New York,2012-09-01,1,1
601.433793675201,United States-New York,2012-10-01,1,1
929.027994000446,United States-New York,2012-11-01,2,2
929.027994000446,United States-New York,2012-12-01,2,2
929.027994000446,United States-New York,2013-01-01,2,2
929.027994000446,United States-New York,2013-02-01,2,2
929.027994000446,United States-New York,2013-03-01,2,2
929.027994000446,United States-New York,2013-04-01,2,2
929.027994000446,United States-New York,2013-05-01,2,2
929.027994000446,United States-New York,2013-06-01,2,2
929.027994000446,United States-New York,2013-07-01,2,2
929.027994000446,United States-New York,2013-08-01,2,2
929.027994000446,United States-New York,2013-09-01,2,2
929.027994000446,United States-New York,2013-10-01,2,2
929.027994000446,United States-New York,2013-11-01,2,2
929.027994000446,United States-New York,2013-12-01,2,2
929.027994000446,United States-New York,2014-01-01,2,2
929.027994000446,United States-New York,2014-02-01,2,2
929.027994000446,United States-New York,2014-03-01,2,2
929.027994000446,United States-New York,2014-04-01,2,2
929.027994000446,United States-New York,2014-05-01,2,2
1553.40608157309,United States-New York,2014-06-01,3,3
1553.40608157309,United States-New York,2014-07-01,3,3
1553.40608157309,United States-New York,2014-08-01,3,3
1553.40608157309,United States-New York,2014-09-01,3,3
1553.40608157309,United States-New York,2014-10-01,3,3
1553.40608157309,United States-New York,2014-11-01,3,3
1553.40608157309,United States-New York,2014-12-01,3,3
1553.40608157309,United States-New York,2015-01-01,3,3
1553.40608157309,United States-New York,2015-02-01,3,3
1553.40608157309,United States-New York,2015-03-01,3,3
2358.10409531369,United States-New York,2015-04-01,4,4
2358.10409531369,United States-New York,2015-05-01,4,4
2358.10409531369,United States-New York,2015-06-01,4,4
3142.39157004433,United States-New York,2015-07-01,5,5
3142.39157004433,United States-New York,2015-08-01,5,5
4032.35224688071,United States-New York,2015-09-01,6,6
4032.35224688071,United States-New York,2015-10-01,6,6
4971.66527335588,United States-New York,2015-11-01,7,7
4971.66527335588,United States-New York,2015-12-01,7,7
5636.05334467628,United States-New York,2016-01-01,8,8
5636.05334467628,United States-New York,2016-02-01,8,8
5636.05334467628,United States-New York,2016-03-01,8,8
