date,values
2010-11-01,1013.84208186273
2010-12-01,1027.76518388219
2011-01-01,1044.42452164903
2011-02-01,1050.51431462339
2011-03-01,1042.53918848163
2011-04-01,1029.00816902353
2011-05-01,1017.69617001911
2011-06-01,1012.71588727158
2011-07-01,1015.49383392975
2011-08-01,1033.2877084699
2011-09-01,1056.77929342304
2011-10-01,1087.34504884503
2011-11-01,1127.4208919256
2011-12-01,1159.57166195736
2012-01-01,1187.96010783646
2012-02-01,1211.63522079705
2012-03-01,1245.27089925269
2012-04-01,1312.99273400042
2012-05-01,1401.10286193902
2012-06-01,1498.05570296368
2012-07-01,1611.75130357675
2012-08-01,1726.45630823077
2012-09-01,1858.49636740632
2012-10-01,2022.32848278089
2012-11-01,2169.9851069537
2012-12-01,2276.58985273361
2013-01-01,2337.8548384921
2013-02-01,2405.86864961531
2013-03-01,2535.1307621327
2013-04-01,2674.9373928961
2013-05-01,2803.26518101194
2013-06-01,2914.191177149
2013-07-01,2989.99658640653
2013-08-01,3058.67777210228
2013-09-01,3148.66489102613
2013-10-01,3232.4120576968
2013-11-01,3305.2977031995
2013-12-01,3373.21140813684
2014-01-01,3438.99785662423
2014-02-01,3547.14590610312
2014-03-01,3676.23283279522
2014-04-01,3825.68302613171
2014-05-01,3975.57535512251
2014-06-01,4109.82609256958
2014-07-01,4249.54930151141
2014-08-01,4377.81035217
2014-09-01,4556.65839542655
2014-10-01,4792.85894101011
2014-11-01,5098.45809995489
2014-12-01,5432.44570477878
2015-01-01,5694.47364631935
2015-02-01,5967.15455447397
2015-03-01,6395.17523656768
2015-04-01,7020.31334084102
2015-05-01,7756.74449726631
2015-06-01,8548.01715918945
2015-07-01,9374.66067345682
2015-08-01,10272.3462109703
2015-09-01,11433.0690940652
2015-10-01,12884.8673969703
2015-11-01,14099.6142517118
2015-12-01,14905.3022044016
2016-01-01,15597.8034295899
2016-02-01,16531.6439845703
2016-03-01,17316.3346647719
